Date:,Title:,Year:,Director:,Rating: ,,,
3/29/18,Chicago,2002,Rob Marshall,1.5,,,
3/29/18,There Will Be Blood,2007,Paul Thomas Anderson,5,,,
4/3/18,Inception,2010,Christopher Nolan,4,,,
4/4/18,Slumdog Millionaire,2008,Danny Boyle,3,,,
4/5/18,No Country For Old Men,2007,"Ethan Coen, Joel Coen",3.5,,,
4/6/18,A Beautiful Mind,2001,Ron Howard,3.5,,,
4/6/18,The Shawshank Redemption,1994,Frank Darabont,4.5,,,
4/8/18,The Wolf of Wall Street,2013,Martin Scorsese,3.5,,,
4/14/18,Whiplash,2014,Damien Chazelle,2.5,,,
4/21/18,Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,3.5,,,
5/18/18,The Matrix,1999,"Lilly Wachowski, Lana Wachowski",3,,,
5/21/18,Back to the Future,1985,Robert Zemeckis,3.5,,,
5/23/18,Chinatown,1974,Roman Polanski,4,,,
5/25/18,Good Will Hunting,1997,Gus Van Sant,2.5,,,
5/28/18,12 Years a Slave,2013,Steve McQueen,4.5,,,
5/31/18,Fight Club,1999,David Fincher,2,,,
6/4/18,Lincoln,2012,Steven Spielberg,2.5,,,
6/12/18,The Silence of the Lambs,1991,Jonathan Demme,3.5,,,
6/13/18,Pi,1998,Darren Aronofsky,3.5,,,
6/15/18,Seven Samurai,1954,Akira Kurosawa,4,,,
6/16/18,Friday the 13th,1980,Sean S. Cunningham,1.5,,,
6/18/18,Dunkirk,2017,Christopher Nolan,4,,,
6/21/18,Brokeback Mountain,2005,Ang Lee,4,,,
6/22/18,Atonement,2007,Joe Wright,3,,,
6/22/18,Platoon,1986,Oliver Stone,4,,,
6/23/18,The Green Mile,1999,Frank Darabont,4,,,
6/28/18,Casablanca,1942,Michael Curtiz,3.5,,,
6/29/18,Little Miss Sunshine,2006,"Valerie Faris, Jonathan Dayton",4,,,
6/30/18,Apocalypse Now,1979,Francis Ford Coppola,4.5,,,
7/2/18,Gladiator,2000,Ridley Scott,3.5,,,
7/3/18,Alien,1979,Ridley Scott,4,,,
7/7/18,Aliens,1986,James Cameron,4.5,,,
7/8/18,The Assassination of Jesse James By the Coward Robert Ford,2007,Andrew Dominik,3,,,
7/9/18,How to Train Your Dragon,2010,"Dean DeBlois, Chris Sanders",2.5,,,
7/14/18,West Side Story,1961,"Jerome Robbins, Robert Wise",1.5,,,
7/15/18,Avatar,2009,James Cameron,2.5,,,
7/16/18,Back to the Future Part II,1989,Robert Zemeckis,2.5,,,
7/18/18,Being John Malkovich,1999,Spike Jonze,3.5,,,
7/19/18,Crazy Heart,2009,Scott Cooper,3,,,
7/20/18,The Wizard of Oz,1939,Victor Fleming,2.5,,,
7/20/18,It,2017,Andres Muschietti,4,,,
7/21/18,Logan,2017,James Mangold,3,,,
7/22/18,Lady Bird,2017,Greta Gerwig,3,,,
7/23/18,Blue Velvet,1986,David Lynch,3,,,
7/25/18,The Florida Project,2017,Sean Baker,3,,,
7/25/18,Inside Llewyn Davis,2013,"Ethan Coen, Joel Coen",3.5,,,
7/26/18,The Deer Hunter,1978,Michael Cimino,5,,,
7/27/18,Superbad,2007,Greg Mottola,2.5,,,
7/28/18,The Terminator,1984,James Cameron,3.5,,,
7/28/18,Silence,2016,Martin Scorsese,4,,,
7/29/18,The Hurt Locker,2008,Kathryn Bigelow,2.5,,,
8/1/18,Jaws,1975,Steven Spielberg,2,,,
8/1/18,American Beauty,1999,Sam Mendes,3,,,
8/2/18,The Darkest Minds,2018,Jennifer Yuh Nelson,1.5,,,
8/3/18,Saving Private Ryan,1998,Steven Spielberg,2.5,,,
8/4/18,The Graduate,1967,Mike Nichols,3.5,,,
8/5/18,12 Monkeys,1995,Terry Gilliam,3,,,
8/6/18,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,4,,,
8/7/18,Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,2.5,,,
8/9/18,Interstellar,2014,Christopher Nolan,3.5,,,
8/11/18,The Last of the Mohicans,1992,Michael Mann,3.5,,,
8/11/18,A.I. Artificial Intelligence,2001,Steven Spielberg,2,,,
8/12/18,Manchester by the Sea,2016,Kenneth Lonergan,2.5,,,
8/13/18,Mulholland Drive,2001,David Lynch,3.5,,,
8/14/18,Ran,1985,Akira Kurosawa,4.5,,,
8/16/18,A Clockwork Orange,1971,Stanley Kubrick,4,,,
8/17/18,Badlands,1973,Terrence Malick,3.5,,,
8/17/18,Fantastic Planet,1973,Rene Laloux,4.5,,,
8/20/18,Three Colours: Blue,1993,Krzysztof Kieślowski,2.5,,,
8/28/18,Tokyo Story,1953,Yasujiro Ozu,2,,,
9/1/18,Mission Impossible: Fallout,2018,Christopher McQuarrie,4.5,,,
9/2/18,The Gold Rush,1925,Charlie Chaplin,2.5,,,
9/7/18,Akira,1988,Katsuhiro Otomo,3.5,,,
9/11/18,This is Spinal Tap,1984,Rob Reiner,4.5,,,
9/13/18,Her,2013,Spike Jonze,2,,,
9/15/18,The Thin Red Line,1998,Terrence Malick,3.5,,,
9/15/18,Terminator 2: Judgement Day,1991,James Cameron,3,,,
9/16/18,Mission Impossible: Rogue Nation,2015,Christopher McQuarrie,3.5,,,
9/21/18,Deliverance,1972,John Boorman,3.5,,,
9/30/18,Metropolis,1927,Fritz Lang,3.5,,,
10/6/18,Mission: Impossible,1996,Brian De Palma,2.5,,,
10/7/18,Mission Impossible: Ghost Protocol,2011,Brad Bird,4,,,
10/9/18,2001: A Space Odyssey,1968,Stanley Kubrick,3.5,,,
10/16/18,M,1931,Fritz Lang,3,,,
11/1/18,The Dark Knight,2008,Christopher Nolan,4.5,,,
11/2/18,Black Swan,2010,Darren Aronofsky,4,,,
11/13/18,Gangs of New York,2002,Martin Scorsese,2.5,,,
11/15/18,Gravity,2013,Alfonso Cuaron,4,,,
11/16/18,The Departed,2006,Martin Scorsese,3.5,,,
11/17/18,Modern Times,1936,Charlie Chaplin,2.5,,,
11/18/18,Inside Out,2015,Pete Docter,1.5,,,
11/18/18,Days of Heaven,1978,Terrence Malick,5,,,
11/19/18,Call Me By Your Name,2017,Luca Guadagnino,4,,,
11/20/18,Mission Impossible II,2000,John Woo,2,,,
11/21/18,They Live,1988,John Carpenter,2.5,,,
11/21/18,The Secret of NIMH,1982,Don Bluth,3,,,
11/21/18,Midnight Cowboy,1969,John Schlesinger,4.5,,,
11/22/18,Office Space,1999,Mike Judge,4,,,
11/24/18,The Thing,1982,John Carpenter,4.5,,,
11/24/18,The Curious Case of Benjamin Button,2008,David Fincher,2.5,,,
11/26/18,Airplane!,1980,"David Zucker, Jim Abrahams, Jerry Zucker",3,,,
12/4/18,Gandhi,1982,Richard Attenborough,2.5,,,
12/5/18,La La Land,2016,Damien Chazelle,2.5,,,
12/7/18,The Bridge on the River Kwai,1957,David Lean,4,,,
12/9/18,Lawrence of Arabia,1962,David Lean,3,,,
12/12/18,Moonrise Kingdom,2012,Wes Anderson,3.5,,,
12/15/18,Shaun of the Dead,2004,Edgar Wright,2,,,
12/17/18,Mission: Impossible III,2006,J.J. Abrams,2.5,,,
12/17/18,Logan's Run,1976,Michael Anderson,3.5,,,
12/18/18,Kill Bill: Volume 1,2003,Quentin Tarantino,3,,,
12/18/18,Cool Hand Luke,1967,Stuart Rosenberg,3,,,
12/19/18,The Martian,2015,Ridley Scott,3,,,
12/19/18,Magnolia,1999,Paul Thomas Anderson,4,,,
12/20/18,M*A*S*H,1970,Robert Altman,2.5,,,
12/21/18,Barry Lyndon,1975,Stanley Kubrick,4.5,,,
12/22/18,Bonnie and Clyde,1967,Arthur Penn,4,,,
12/23/18,The Usual Suspects,1995,Bryan Singer,2.5,,,
12/24/18,It's a Wonderful Life,1946,Frank Capra,1.5,,,
12/25/18,Cabaret,1972,Bob Fosse,4,,,
12/26/18,"The Good, the Bad and the Ugly",1966,Sergio Leone,4,,,
12/27/18,Groundhog Day,1993,Harold Ramis,4,,,
12/27/18,Carrie,1976,Brian De Palma,3,,,
12/28/18,Dog Day Afternoon,1975,Sidney Lumet,3,,,
12/29/18,American Psycho,2000,Mary Harron,2.5,,,
12/29/18,Year One,2009,Harold Ramis,2.5,,,
12/31/18,Raging Bull,1980,Martin Scorsese,3.5,,,
1/2/19,Moonlight,2016,Barry Jenkins,3.5,,,
1/6/19,Hugo,2011,Martin Scorsese,2,,,
1/11/19,V for Vendetta,2005,James McTeigue,2,,,
1/13/19,Boogie Nights,1997,Paul Thomas Anderson,3.5,,,
1/16/19,Fargo,1996,"Ethan Coen, Joel Coen",4,,,
1/16/19,GoodFellas,1990,Martin Scorsese,3,,,
1/17/19,The Shining,1980,Stanley Kubrick,4.5,,,
1/20/19,Some Like It Hot,1959,Billy Wilder,3,,,
1/20/19,Annihilation,2018,Alex Garland,3.5,,,
1/24/19,Brazil,1985,Terry Gilliam,2,,,
1/27/19,Isle of Dogs,2018,Wes Anderson,3.5,,,
2/1/19,BlacKkKlansman,2018,Spike Lee,3.5,,,
2/2/19,The Prestige,2006,Christopher Nolan,2.5,,,
2/3/19,The Shape of Water,2017,Guillermo del Toro,2.5,,,
2/4/19,Grizzly Man,2005,Werner Herzog,4.5,,,
2/7/19,Tomb Raider,2018,Roar Uthaug,2,,,
2/9/19,Zodiac,2007,David Fincher,3,,,
2/10/19,Chungking Express,1994,Wong Kar-wai,4,,,
2/15/19,The Handmaiden,2016,Park Chan-wook,3,,,
2/17/19,All the President's Men,1976,Alan J. Pakula,3.5,,,
2/21/19,Wonder Woman,2017,Patty Jenkins,2.5,,,
2/25/19,Stalker,1979,Andrei Tarkovsky,2.5,,,
2/28/19,12 Angry Men,1957,Sidney Lumet,3.5,,,
3/3/19,Fantasic Mr. Fox,2009,Wed Anderson,4,,,
3/5/19,A Star is Born,2018,Bradley Cooper,3.5,,,
3/10/19,Big Fish,2003,Tim Burton,2.5,,,
3/15/19,Corpse Bride,2005,Tim Burton,2.5,,,
3/16/19,In the Name of the Father,1993,Jim Sheridan,2.5,,,
3/16/19,Dawn of the Dead,2004,Zack Snyder,3,,,
3/23/19,Us,2019,Jordan Peele,3,,,
3/24/19,Memento,2000,Christopher Nolan,4,,,
3/27/19,Adaptation,2002,Spike Jonze,3.5,,,
3/30/19,Eraserhead,1978,David Lynch,4,,,
3/31/19,Run Lola Run,1998,Tom Tykwer,3,,,
4/1/19,Rashomon,1950,Akira Kurosawa,2.5,,,
4/2/19,Life Itself,2014,Steve James,3.5,,,
4/2/19,Cold War,2018,Paweł Pawlikowski,2.5,,,
4/3/19,True Grit,2010,"Ethan Coen, Joel Coen",3,,,
4/3/19,Suspiria,1977,Dario Argento,4.5,,,
4/4/19,Samsara,2011,Ron Fricke,4,,,
4/4/19,Donnie Darko,2001,Richard Kelly,4,,,
4/5/19,The Seventh Seal,1957,Ingmar Bergman,4,,,
4/5/19,The Evil Dead,1981,Sam Raimi,1,,,
11/30/18,The Grand Budapest Hotel,2014,Wes Anderson,3,,,
4/6/19,Delicatessen,1991,"Jean-Pierre Jeunet, Marc Caro",2,,,
4/6/19,"Aguirre, The Wrath of God",1972,Werner Herzog,4,,,
4/12/19,"Paris, Texas",1984,Wim Wenders,3,,,
4/13/19,Green Book,2018,Peter Farrelly,3,,,
4/14/19,Predator,1987,John McTiernan,2.5,,,
4/21/19,In the Mood for Love,2000,Wong Kar-wai,2.5,,,
4/26/19,An American Werewolf in London,1981,John Landis,3,,,
4/28/19,Yi Yi,2000,Edward Yang,3.5,,,
4/30/19,House of Flying Daggers,2004,Zhang Yimou,2,,,
5/3/19,Ghost in the Shell,1995,Mamoru Oshii,3,,,
5/4/19,The Thin Blue Line,1988,Errol Morris,2,,,
5/6/19,Reservoir Dogs,1992,Quentin Tarantino,3,,,
5/8/19,Annie Hall,1977,Woody Allen,4.5,,,
5/9/19,Crazy Rich Asians,2018,Jon Chu,3,,,
5/11/19,Amélie,2001,Jean-Pierre Jeunet,1.5,,,
5/11/19,Dawn of the Dead,1978,George A. Romero,2,,,
5/11/19,Battle Royale,2000,Kinji Fukasaku,2,,,
5/12/19,Andrei Rublev,1966,Andrei Tarkovsky,3.5,,,
5/13/19,Oldboy,2003,Park Chan-wook,2.5,,,
5/19/19,Black Narcissus,1947,"Michael Powell, Emeric Pressburger",3.5,,,
5/20/19,Loving Vincent,2017,"Dorota Kobiela, Hugh Welchman",4,,,
5/21/19,The Cabinet of Dr. Caligari,1920,Robert Wiene,2,,,
5/21/19,Detective Pikachu,2019,Rob Letterman,2.5,,,
5/22/19,The Hunt,2012,Thomas Vinterberg,3.5,,,
5/23/19,Ikiru,1952,Akira Kurosawa,3,,,
5/23/19,Monster,2003,Patty Jenkins,4,,,
5/24/19,Full Metal Jacket,1987,Stanley Kubrick,4.5,,,
5/25/19,The Last Emperor,1987,Bernardo Bertolucci,3.5,,,
5/28/19,Bicycle Thieves,1948,Vittorio De Sica,2.5,,,
5/29/19,Eyes Wide Shut,1999,Stanley Kubrick,3.5,,,
5/30/19,Legends of the Fall,1994,Edward Zwick,2.5,,,
5/30/19,A Knight's Tale,2001,Brian Helgeland,3.5,,,
5/31/19,Paths of Glory,1957,Stanley Kubrick,4,,,
6/2/19,The English Patient,1996,Athony Minghella,2.5,,,
6/2/19,The Red Shoes,1948,"Michael Powell, Emeric Pressburger",4.5,,,
6/3/19,Pulp Fiction,1994,Quentin Tarantino,4.5,,,
6/4/19,Persona,1966,Ingmar Bergman,2.5,,,
6/5/19,Contempt,1963,Jean-Luc Godard,2.5,,,
6/5/19,Drive,2011,Nicolas Winding Refn,3.5,,,
6/6/19,Wanda,1970,Barbara Loden,3,,,
6/6/19,Spotlight,2015,Tom McCarthy,3,,,
6/7/19,Blue is the Warmest Color,2013,Abdellatif Kechiche,3.5,,,
6/8/19,Wildlife,2018,Paul Dano,2.5,,,
6/9/19,Nanook of the North,1922,Robert Flaherty,3.5,,,
6/9/19,Die Hard,1988,John McTiernan,3.5,,,
6/10/19,The Night of the Hunter,1955,Charles Laughton,2.5,,,
6/11/19,Rango,2011,Gore Verbinski,2,,,
6/12/19,Solaris,1972,Andrei Tarkovsky,3,,,
6/12/19,Harold and Maude,1971,Hal Ashby,3,,,
6/14/19,The Battle of Algiers,1966,Gillo Pontecorvo,4,,,
6/14/19,Ghost in the Shell,2017,Rupert Sanders,2.5,,,
6/15/19,Wild Strawberries,1957,Ingmar Bergman,3.5,,,
6/16/19,Three Colours: White,1994,Krzysztof Kieślowski,2.5,,,
6/17/19,Le Samouraï,1967,Jean-Pierre Meville,3,,,
6/18/19,The Adventures of Tintin: The Secret of the Unicorn,2011,Steven Spielberg,3,,,
6/19/19,The Passion of Joan of Arc,1928,Carl Theodore Dreyer,1.5,,,
6/19/19,Punch-Drunk Love,2002,Paul Thomas Anderson,2.5,,,
6/20/19,Evil Dead 2,1987,Sam Raimi,1.5,,,
6/21/19,The Virgin Suicides,1999,Sofia Coppola,4,,,
6/22/19,Taxi Driver,1976,Martin Scorsese,3.5,,,
6/23/19,Fanny and Alexander,1982,Ingmar Bergman,4.5,,,
6/23/19,Seven,1995,David Fincher,4,,,
6/25/19,Unforgiven,1992,Clint Eastwood,2.5,,,
6/25/19,The Tree of Life,2011,Terrence Malick,2.5,,,
6/26/19,Diabolique,1955,Henri-Georges Clouzot,3.5,,,
6/26/19,Batman Begins,2005,Christopher Nolan,3,,,
6/27/19,Léon: The Professional,1994,Luc Besson,3.5,,,
6/28/19,Battleship Potemkin,1925,Sergei Eistenstein,2.5,,,
6/28/19,The Third Man,1949,Carol Reed,3.5,,,
6/28/19,The Wicker Man,1973,Robin Hardy,3,,,
6/29/19,Wings of Desire,1987,Wim Wenders,2.5,,,
6/30/19,The Wages of Fear,1953,Henri-Georges Clouzot,4.5,,,
6/30/19,Three Colours: Red,1994,Krzysztof Kieślowski,2,,,
7/1/19,8½,1963,Federico Fellini,1.5,,,
7/1/19,Easy Rider,1969,Dennis Hopper,3.5,,,
7/2/19,Midsommar,2019,Ari Aster,2,,,
7/3/19,Eyes Without a Face,1960,Georges Franju,3,,,
7/4/19,Avengers: Endgame,2019,"Anthony Russo, Joe Russo",3.5,,,
7/4/19,The 39 Steps,1935,Alfred Hitchcock,3,,,
7/4/19,Watership Down,1978,"Martin Rosen, John Hubley",2.5,,,
7/5/19,Koyaanisqatsi,1982,Godfrey Reggio,3,,,
7/5/19,Moon,2009,Duncan Jones,4,,,
7/6/19,Pinocchio,1940,"Hamilton Luske, Ben Sharpsteen, Wilfred Jackson, Norm Ferguson, Jack Kinney, T. Hee, Bill Roberts",3,,,
7/6/19,Blair Witch Project,1999,"Eduardo Sánchez, Daniel Myrick",4,,,
7/7/19,Y Tu Mamá También,2001,Alfonso Cuarón,4,,,
7/8/19,Melancholia,2011,Lars von Trier,2.5,,,
7/8/19,Risky Business,1983,Paul Brickman,2.5,,,
7/9/19,Hotel Rwanda,2004,Terry George,3.5,,,
7/10/19,Nightcrawler,2014,Dan Gilroy,3.5,,,
7/11/19,Bowling for Columbine,2002,Michael Moore,3.5,,,
7/11/19,Shakespeare in Love,1998,John Madden,2.5,,,
7/13/19,Young Frankenstein,1974,Mel Brooks,3.5,,,
7/14/19,District 9,2009,Neill Blomkamp,3.5,,,
7/15/19,King Kong,1933,"Merian C. Cooper, Ernest B. Schoedsack",3,,,
7/15/19,The Artist,2011,Michel Hazanavicius,3.5,,,
7/16/19,Fitzcarraldo,1982,Werner Herzog,3.5,,,
7/17/19,The Adventures of Robin Hood,1938,"Michael Curtiz, William Keighley",3.5,,,
7/18/19,Do the Right Thing,1989,Spike Lee,4.5,,,
7/18/19,Children of Men,2006,Alfonso Cuarón,3,,,
7/19/19,Double Indemnity,1944,Billy Wilder,3,,,
7/19/19,Sin City,2005,"Quentin Tarantino, Frank Miller, Robert Rodriguez",2,,,
7/20/19,Breakfast at Tiffany's,1961,Blake Edwards,1.5,,,
7/20/19,The Big Lebowski,1998,"Ethan Coen, Joel Coen",3.5,,,
7/21/19,Goldfinger,1964,Guy Hamilton,2.5,,,
7/21/19,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,3,,,
7/22/19,Spider-Man: Homecoming,2017,Jon Watts,2,,,
7/22/19,Pan's Labyrinth,2006,Guillermo del Toro,3,,,
7/23/19,The Social Network,2010,David Fincher,3.5,,,
7/23/19,The Wrestler,2008,Darren Aronofsky,4,,,
7/24/19,Roman Holiday,1953,William Wyler,3,,,
7/24/19,28 Days Later,2002,Danny Boyle,2,,,
7/25/19,The Naked Gun: From the Files of Police Squad!,1988,David Zucker,2,,,
7/25/19,Once Upon a Time In Hollywood,2019,Quentin Tarantino,3,,,
7/26/19,Nosferatu,1922,F. W. Murnau,2,,,
7/26/19,Looper,2012,Rian Johnson,2.5,,,
7/27/19,Dark City,1998,Alex Proyas,2.5,,,
8/1/19,City Lights,1931,Charlie Chaplin,2,,,
8/1/19,Singin' in the Rain,1952,"Gene Kelly, Stanley Donen",2.5,,,
